icao_code,aircraft_name,speed,cruise_min,cruise_max
A319,Airbus A319,470,33000.0,39000.0
A320,Airbus A320,470,33000.0,39000.0
A321,Airbus A321,470,33000.0,39000.0
B733,Boeing 737-300,450,25000.0,35000.0
B734,Boeing 737-400,450,25000.0,35000.0
B735,Boeing 737-500,445,25000.0,35000.0
B737,Boeing 737-700,470,33000.0,39000.0
B738,Boeing 737-800,470,25000.0,35000.0
B739,Boeing 737-900,470,25000.0,35000.0
B744,Boeing 747-400,490,25000.0,35000.0
B752,Boeing 757-200,470,25000.0,35000.0
B763,Boeing 767-300,470,25000.0,35000.0
B772,Boeing 777-200,485,25000.0,35000.0
B77W,Boeing 777-300ER,485,25000.0,35000.0
B788,Boeing 787-8,488,25000.0,35000.0
B789,Boeing 787-9,488,25000.0,35000.0
E190,Embraer 190,447,28000.0,35000.0
E195,Embraer 195,447,28000.0,35000.0
CRJ2,Bombardier CRJ200,434,28000.0,35000.0
CRJ9,Bombardier CRJ900,447,28000.0,35000.0
AT72,ATR 72,275,17000.0,25000.0
DH8D,De Havilland Dash 8 Q400,360,17000.0,25000.0
