callsign,valid_from,valid_to,days,origin,departure_time,destination,flight_time,flight_rules,aircraft_type,rvsm,equipment,pbn,route,alt,eet,performance,operator,remark
ACN5112,010825,060825,135,SBCF,1705,SNSS,0130,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1," | N0155F090 DCT -16.51667,-42.48333 | N0155F075 VFR DCT",RALT/F100,EET/SBRE0120,PER/A,OPR/AZUL,RMK/JAH
ACN5113,010825,060825,135,SNSS,1920,SBCF,0126,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1," | N0155F065 DCT -16.51667,-42.48333 | N0155F100 IFR DCT",,EET/SBBS0011,PER/A,OPR/AZUL,RMK/JAH
ACN5120,020825,050825,26,SBKP,1255,SNBA,0112,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1," | N0155F080 DCT GENBI DCT MEVUT | N0155F090 DCT LOKAR DCT -20.71667,-48.56667 | N0155F075 VFR DCT",RALT/F080,,PER/A,OPR/AZUL,RMK/JAH
ACN5121,020825,050825,26,SNBA,1520,SBKP,0112,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1," | N0155F085 DCT -20.85000,-48.53333 | N0155F100 IFR DCT LOKAR DCT MEVUT | N0155F090 DCT UTLOT DCT",,,PER/A,OPR/AZUL,RMK/JAH
ACN5125,310725,310725,4,SBKP,1235,SNDV,0125,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1," | N0155F090 DCT KONVI DCT -21.15000,-45.30000 DCT -20.21667,-44.88333 | N0155F075 VFR DCT",RALT/F090,,PER/A,OPR/AZUL,RMK/JAH
ACN5125,010825,060825,12356,SBKP,1230,SNDV,0125,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1," | N0155F090 DCT KONVI DCT -21.15000,-45.30000 DCT -20.21667,-44.88333 | N0155F075 VFR DCT",RALT/F090,,PER/A,OPR/AZUL,RMK/JAH
ACN5126,310725,310725,4,SNDV,1450,SBCF,0030,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1," | N0155F075 DCT -20.13333,-44.80000 | N0155F090 IFR DCT -19.78333,-44.21667 DCT",,,PER/A,OPR/AZUL,RMK/JAH
ACN5126,010825,060825,12356,SNDV,1445,SBCF,0030,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1," | N0155F075 DCT -20.13333,-44.80000 | N0155F090 IFR DCT -19.78333,-44.21667 DCT",,,PER/A,OPR/AZUL,RMK/JAH
ACN5128,030825,030825,7,SBCF,1935,SNDV,0030,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1," | N0155F100 DCT -19.76667,-44.43333 DCT -20.13333,-44.83333 | N0155F065 VFR DCT",RALT/F090,,PER/A,OPR/AZUL,RMK/JAH
ACN5128,310725,310725,4,SBCF,2205,SNDV,0030,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1," | N0155F100 DCT -19.76667,-44.43333 DCT -20.13333,-44.83333 | N0155F065 VFR DCT",RALT/F090,,PER/A,OPR/AZUL,RMK/JAH
ACN5128,010825,060825,1235,SBCF,2210,SNDV,0030,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1," | N0155F100 DCT -19.76667,-44.43333 DCT -20.13333,-44.83333 | N0155F065 VFR DCT",RALT/F090,,PER/A,OPR/AZUL,RMK/JAH
ACN5129,310725,060825,12345,SNDV,2325,SBKP,0125,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1," | N0155F065 DCT -20.20000,-44.88333 | N0155F100 IFR DCT -21.15000,-45.28333 DCT -22.68333,-46.51667 DCT",,,PER/A,OPR/AZUL,RMK/JAH
ACN5129,030825,030825,7,SNDV,2110,SBKP,0125,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1," | N0155F065 DCT -20.20000,-44.88333 | N0155F100 IFR DCT -21.15000,-45.28333 DCT -22.68333,-46.51667 DCT",,,PER/A,OPR/AZUL,RMK/JAH
ACN5182,010825,060825,135,SBCF,1505,SNLN,0123,IS,C208/L,S/C,EQPT/SDFGR,PBN/B2C2D2O2S1," | N0155F090 DCT -19.40000,-40.88333 | N0155F075 VFR DCT",RALT/F100,EET/SBRE0030,PER/A,OPR/AZUL,RMK/JAH
